sentence,labelled,vectors
All regions of Puerto Rico battled floodwaters as Hurricane Maria regained “major hurricane status” off the coast of the Dominican Republic.,All regions of Puerto Rico battled floodwaters as Hurricane Maria regained “major hurricane status” off the coast of the Dominican Republic.,All regions of Puerto Rico battled floodwaters as Hurricane Maria regained “major hurricane status” off the coast of the Dominican Republic.
"Articles, photos and video about Dominican Republic from The New York Times, with reader advice on where and when to go.","Articles, photos and video about Dominican Republic from The New York Times, with reader advice on where and when to go.","Articles, photos and video about Dominican Republic from The New York Times, with reader advice on where and when to go."
"News about Dominican Republic, including commentary and archival articles published in The New York Times.","News about Dominican Republic, including commentary and archival articles published in The New York Times.","News about Dominican Republic, including commentary and archival articles published in The New York Times."
"What else do you know about the Dominican Republic's geography, history and culture? Take our quiz to learn more.","What else do you know about the Dominican Republic's geography, history and culture? Take our quiz to learn more.","What else do you know about the Dominican Republic's geography, history and culture? Take our quiz to learn more."
Discovering the unique delights of the Dominican Republic.,Discovering the unique delights of the Dominican Republic.,Discovering the unique delights of the Dominican Republic.
"News about Ecuador, including commentary and archival articles published in The New York Times.","News about Ecuador, including commentary and archival articles published in The New York Times.","News about Ecuador, including commentary and archival articles published in The New York Times."
"Articles, photos and video about Ecuador from The New York Times, with reader advice on where and when to go.","Articles, photos and video about Ecuador from The New York Times, with reader advice on where and when to go.","Articles, photos and video about Ecuador from The New York Times, with reader advice on where and when to go."
A court in Ecuador has paved the way for a criminal trial to begin against the nation's vice president in an alleged corruption plot involving Brazilian construction giant Odebrecht.,A court in Ecuador has paved the way for a criminal trial to begin against the nation's vice president in an alleged corruption plot involving Brazilian construction giant Odebrecht.,A court in Ecuador has paved the way for a criminal trial to begin against the nation's vice president in an alleged corruption plot involving Brazilian construction giant Odebrecht.
Former Ecuadorean President Rafael Correa called on his successor Lenin Moreno to explain to his country why he met with the indicted former campaign chairman for U.S. President Donald Trump earlier this year.,Former Ecuadorean President Rafael Correa called on his successor Lenin Moreno to explain to his country why he met with the indicted former campaign chairman for U.S. President Donald Trump earlier this year.,Former Ecuadorean President Rafael Correa called on his successor Lenin Moreno to explain to his country why he met with the indicted former campaign chairman for U.S. President Donald Trump earlier this year.
"Articles, photos and video about Egypt from The New York Times, with reader advice on where and when to go.","Articles, photos and video about Egypt from The New York Times, with reader advice on where and when to go.","Articles, photos and video about Egypt from The New York Times, with reader advice on where and when to go."
Egypt dismissed a dozen top officials after an attack that killed a large number of police and elicited widespread criticism of the performance of Egypt's security agencies.,Egypt dismissed a dozen top officials after an attack that killed a large number of police and elicited widespread criticism of the performance of Egypt's security agencies.,Egypt dismissed a dozen top officials after an attack that killed a large number of police and elicited widespread criticism of the performance of Egypt's security agencies.
"Ola al-Qaradawi has been imprisoned in Egypt in harsh conditions since June. Supporters say she is being punished because of her father, a famous preacher.","Ola al-Qaradawi has been imprisoned in Egypt in harsh conditions since June. Supporters say she is being punished because of her father, a famous preacher.","Ola al-Qaradawi has been imprisoned in Egypt in harsh conditions since June. Supporters say she is being punished because of her father, a famous preacher."
"Articles, photos and video about Ireland from The New York Times, with reader advice on where and when to go.","Articles, photos and video about Ireland from The New York Times, with reader advice on where and when to go.","Articles, photos and video about Ireland from The New York Times, with reader advice on where and when to go."
"News about Ireland, including commentary and archival articles published in The New York Times.","News about Ireland, including commentary and archival articles published in The New York Times.","News about Ireland, including commentary and archival articles published in The New York Times."
"News about Ireland Inc., including commentary and archival articles published in The New York Times.","News about Ireland Inc., including commentary and archival articles published in The New York Times.","News about Ireland Inc., including commentary and archival articles published in The New York Times."
"News about Northern Ireland, including commentary and archival articles published in The New York Times.","News about Northern Ireland, including commentary and archival articles published in The New York Times.","News about Northern Ireland, including commentary and archival articles published in The New York Times."
"Articles, photos and video about Northern Ireland from The New York Times, with reader advice on where and when to go.","Articles, photos and video about Northern Ireland from The New York Times, with reader advice on where and when to go.","Articles, photos and video about Northern Ireland from The New York Times, with reader advice on where and when to go."
"News about Equatorial Guinea, including commentary and archival articles published in The New York Times.","News about Equatorial Guinea, including commentary and archival articles published in The New York Times.","News about Equatorial Guinea, including commentary and archival articles published in The New York Times."
"News about Estonia, including commentary and archival articles published in The New York Times.","News about Estonia, including commentary and archival articles published in The New York Times.","News about Estonia, including commentary and archival articles published in The New York Times."
"Articles, photos and video about Estonia from The New York Times, with reader advice on where and when to go.","Articles, photos and video about Estonia from The New York Times, with reader advice on where and when to go.","Articles, photos and video about Estonia from The New York Times, with reader advice on where and when to go."
"Estonia has detained a man suspected of being a Russian agent operating against the Estonian state, the prosecutor's office said on Tuesday.","Estonia has detained a man suspected of being a Russian agent operating against the Estonian state, the prosecutor's office said on Tuesday.","Estonia has detained a man suspected of being a Russian agent operating against the Estonian state, the prosecutor's office said on Tuesday."
"While attached to Russia by ethnicity and emotion, residents of Narva, Estonia, say they would never actually want to live there.","While attached to Russia by ethnicity and emotion, residents of Narva, Estonia, say they would never actually want to live there.","While attached to Russia by ethnicity and emotion, residents of Narva, Estonia, say they would never actually want to live there."
"A Russian citizen has been detained in Estonia over suspicions of spying and preparing a computer crime on behalf of Russia's domestic security agency, prosecutors said Tuesday.","A Russian citizen has been detained in Estonia over suspicions of spying and preparing a computer crime on behalf of Russia's domestic security agency, prosecutors said Tuesday.","A Russian citizen has been detained in Estonia over suspicions of spying and preparing a computer crime on behalf of Russia's domestic security agency, prosecutors said Tuesday."
"Articles, photos and video about Eritrea from The New York Times, with reader advice on where and when to go.","Articles, photos and video about Eritrea from The New York Times, with reader advice on where and when to go.","Articles, photos and video about Eritrea from The New York Times, with reader advice on where and when to go."
"News about Eritrea, including commentary and archival articles published in The New York Times.","News about Eritrea, including commentary and archival articles published in The New York Times.","News about Eritrea, including commentary and archival articles published in The New York Times."
"To go out in style, one of the most accomplished American distance runners gathered with family and friends at an event that acknowledged his Eritrean roots.","To go out in style, one of the most accomplished American distance runners gathered with family and friends at an event that acknowledged his Eritrean roots.","To go out in style, one of the most accomplished American distance runners gathered with family and friends at an event that acknowledged his Eritrean roots."
"A World Bank-sponsored study found that wealthy countries Finland, Saudi Arabia and the United States and poor nations Eritrea, Pakistan and Tanzania had gone through assessments.","A World Bank-sponsored study found that wealthy countries Finland, Saudi Arabia and the United States and poor nations Eritrea, Pakistan and Tanzania had gone through assessments.","A World Bank-sponsored study found that wealthy countries Finland, Saudi Arabia and the United States and poor nations Eritrea, Pakistan and Tanzania had gone through assessments."
"News about El Salvador, including commentary and archival articles published in The New York Times.","News about El Salvador, including commentary and archival articles published in The New York Times.","News about El Salvador, including commentary and archival articles published in The New York Times."
"Articles, photos and video about El Salvador from The New York Times, with reader advice on where and when to go.","Articles, photos and video about El Salvador from The New York Times, with reader advice on where and when to go.","Articles, photos and video about El Salvador from The New York Times, with reader advice on where and when to go."
"Juan Rodriguez entered the U.S. illegally from El Salvador over a decade ago. Now, after years of checking in with immigration officers, he is told he will be deported as his daughter prepares to graduate from high school.","Juan Rodriguez entered the U.S. illegally from El Salvador over a decade ago. Now, after years of checking in with immigration officers, he is told he will be deported as his daughter prepares to graduate from high school.","Juan Rodriguez entered the U.S. illegally from El Salvador over a decade ago. Now, after years of checking in with immigration officers, he is told he will be deported as his daughter prepares to graduate from high school."
Lauren Markham's impeccably timed and intimately reported book follows twin teenage brothers on their journey from El Salvador to California.,Lauren Markham's impeccably timed and intimately reported book follows twin teenage brothers on their journey from El Salvador to California.,Lauren Markham's impeccably timed and intimately reported book follows twin teenage brothers on their journey from El Salvador to California.
"The Roman Catholic Jesuit community in El Salvador will ask authorities to reopen the case against a group of military officials suspected in the 1989 massacre of six priests and two female employees, a lawyer said Thursday.","The Roman Catholic Jesuit community in El Salvador will ask authorities to reopen the case against a group of military officials suspected in the 1989 massacre of six priests and two female employees, a lawyer said Thursday.","The Roman Catholic Jesuit community in El Salvador will ask authorities to reopen the case against a group of military officials suspected in the 1989 massacre of six priests and two female employees, a lawyer said Thursday."
"A top official in El Salvador is warning Uber that the ride-hailing app is operating outside the law and must cease operations, six months after launching in the country.","A top official in El Salvador is warning Uber that the ride-hailing app is operating outside the law and must cease operations, six months after launching in the country.","A top official in El Salvador is warning Uber that the ride-hailing app is operating outside the law and must cease operations, six months after launching in the country."
"News about Ethiopia, including commentary and archival articles published in The New York Times.","News about Ethiopia, including commentary and archival articles published in The New York Times.","News about Ethiopia, including commentary and archival articles published in The New York Times."
"Articles, photos and video about Ethiopia from The New York Times, with reader advice on where and when to go.","Articles, photos and video about Ethiopia from The New York Times, with reader advice on where and when to go.","Articles, photos and video about Ethiopia from The New York Times, with reader advice on where and when to go."
Ethiopia is one of the more exciting places to visit in the world right now: An attractive mix of ancient tradition and rapid modernization.,Ethiopia is one of the more exciting places to visit in the world right now: An attractive mix of ancient tradition and rapid modernization.,Ethiopia is one of the more exciting places to visit in the world right now: An attractive mix of ancient tradition and rapid modernization.
"Egyptian President Abdel-Fattah el-Sissi, for the second time in as many days, delivered on Saturday a stern warning to Ethiopia over a dam it is building after the two countries along with Sudan failed to approve a study on its potential effects.","Egyptian President Abdel-Fattah el-Sissi, for the second time in as many days, delivered on Saturday a stern warning to Ethiopia over a dam it is building after the two countries along with Sudan failed to approve a study on its potential effects.","Egyptian President Abdel-Fattah el-Sissi, for the second time in as many days, delivered on Saturday a stern warning to Ethiopia over a dam it is building after the two countries along with Sudan failed to approve a study on its potential effects."
"Articles, photos and video about Czech Republic from The New York Times, with reader advice on where and when to go.","Articles, photos and video about Czech Republic from The New York Times, with reader advice on where and when to go.","Articles, photos and video about Czech Republic from The New York Times, with reader advice on where and when to go."
"News about Czech Republic, including commentary and archival articles published in The New York Times.","News about Czech Republic, including commentary and archival articles published in The New York Times.","News about Czech Republic, including commentary and archival articles published in The New York Times."
"Andrej Babis, the billionaire leader of an anti-establishment party, is expected to become prime minister of the Czech Republic after mainstream parties fall short.","Andrej Babis, the billionaire leader of an anti-establishment party, is expected to become prime minister of the Czech Republic after mainstream parties fall short.","Andrej Babis, the billionaire leader of an anti-establishment party, is expected to become prime minister of the Czech Republic after mainstream parties fall short."
"News about French Guiana, including commentary and archival articles published in The New York Times.","News about French Guiana, including commentary and archival articles published in The New York Times.","News about French Guiana, including commentary and archival articles published in The New York Times."
"News about Finland, including commentary and archival articles published in The New York Times.","News about Finland, including commentary and archival articles published in The New York Times.","News about Finland, including commentary and archival articles published in The New York Times."
"Articles, photos and video about Finland from The New York Times, with reader advice on where and when to go.","Articles, photos and video about Finland from The New York Times, with reader advice on where and when to go.","Articles, photos and video about Finland from The New York Times, with reader advice on where and when to go."
Finnish police say they have questioned a French man suspected of stabbing his 3-year-old daughter to death in southern Finland.,Finnish police say they have questioned a French man suspected of stabbing his 3-year-old daughter to death in southern Finland.,Finnish police say they have questioned a French man suspected of stabbing his 3-year-old daughter to death in southern Finland.
"General Electric's power generation unit is planning to build new wind farms in Finland and Sweden, a company executive said on Tuesday.","General Electric's power generation unit is planning to build new wind farms in Finland and Sweden, a company executive said on Tuesday.","General Electric's power generation unit is planning to build new wind farms in Finland and Sweden, a company executive said on Tuesday."
"News about Fiji, including commentary and archival articles published in The New York Times.","News about Fiji, including commentary and archival articles published in The New York Times.","News about Fiji, including commentary and archival articles published in The New York Times."
"Articles, photos and video about Fiji from The New York Times, including hotel, restaurant and attraction information with reader reviews and advice on where to stay, where to eat and what to do.","Articles, photos and video about Fiji from The New York Times, including hotel, restaurant and attraction information with reader reviews and advice on where to stay, where to eat and what to do.","Articles, photos and video about Fiji from The New York Times, including hotel, restaurant and attraction information with reader reviews and advice on where to stay, where to eat and what to do."
"What else do you know about Fiji's geography, culture and economy? Take our quiz to learn more.","What else do you know about Fiji's geography, culture and economy? Take our quiz to learn more.","What else do you know about Fiji's geography, culture and economy? Take our quiz to learn more."
"New Zealand-born fullback Jayden Hayward will debut for Italy against Fiji in Catania on Saturday after being named in the team, with uncapped Ian McKinley, who was born in Ireland, among the substitutes.","New Zealand-born fullback Jayden Hayward will debut for Italy against Fiji in Catania on Saturday after being named in the team, with uncapped Ian McKinley, who was born in Ireland, among the substitutes.","New Zealand-born fullback Jayden Hayward will debut for Italy against Fiji in Catania on Saturday after being named in the team, with uncapped Ian McKinley, who was born in Ireland, among the substitutes."
Fiji warned on Friday it faces soaring costs to protect itself from climate change and called on the world to do more to curb carbon emissions to protect poor island nations from the increasing threat of floods and cyclones.,Fiji warned on Friday it faces soaring costs to protect itself from climate change and called on the world to do more to curb carbon emissions to protect poor island nations from the increasing threat of floods and cyclones.,Fiji warned on Friday it faces soaring costs to protect itself from climate change and called on the world to do more to curb carbon emissions to protect poor island nations from the increasing threat of floods and cyclones.
"Fiji has turned a tiny part of Germany into a tropical Pacific island as it leads global negotiations on climate change, securing a stage for islanders' worries about rising sea levels.","Fiji has turned a tiny part of Germany into a tropical Pacific island as it leads global negotiations on climate change, securing a stage for islanders' worries about rising sea levels.","Fiji has turned a tiny part of Germany into a tropical Pacific island as it leads global negotiations on climate change, securing a stage for islanders' worries about rising sea levels."
"News about Faroe Islands, including commentary and archival articles published in The New York Times.","News about Faroe Islands, including commentary and archival articles published in The New York Times.","News about Faroe Islands, including commentary and archival articles published in The New York Times."
Andorra had lost 58 straight competitive games before its 0-0 draw with the Faroe Islands in a World Cup qualifier.,Andorra had lost 58 straight competitive games before its 0-0 draw with the Faroe Islands in a World Cup qualifier.,Andorra had lost 58 straight competitive games before its 0-0 draw with the Faroe Islands in a World Cup qualifier.
"Articles, photos and video about French Polynesia from The New York Times, with reader advice on where and when to go.","Articles, photos and video about French Polynesia from The New York Times, with reader advice on where and when to go.","Articles, photos and video about French Polynesia from The New York Times, with reader advice on where and when to go."
"The documentary, by David France, looks at the death of the transgender activist. Police say it was suicide; friends suspect it was murder.","The documentary, by David France, looks at the death of the transgender activist. Police say it was suicide; friends suspect it was murder.","The documentary, by David France, looks at the death of the transgender activist. Police say it was suicide; friends suspect it was murder."
"Articles, photos and video about France from The New York Times, with reader advice on where and when to go.","Articles, photos and video about France from The New York Times, with reader advice on where and when to go.","Articles, photos and video about France from The New York Times, with reader advice on where and when to go."
"News about France , including commentary and archival articles published in The New York Times.","News about France , including commentary and archival articles published in The New York Times.","News about France , including commentary and archival articles published in The New York Times."
"Many in France call sexual harassment a national emergency, but cultural and legal barriers discourage women from complaining about harassment in the workplace.","Many in France call sexual harassment a national emergency, but cultural and legal barriers discourage women from complaining about harassment in the workplace.","Many in France call sexual harassment a national emergency, but cultural and legal barriers discourage women from complaining about harassment in the workplace."
"Trying to shed the label of “President of the Rich,” France's young leader promises job training, not programs, in the poorer suburbs of Paris.","Trying to shed the label of “President of the Rich,” France's young leader promises job training, not programs, in the poorer suburbs of Paris.","Trying to shed the label of “President of the Rich,” France's young leader promises job training, not programs, in the poorer suburbs of Paris."
"News about Gabon, including commentary and archival articles published in The New York Times.","News about Gabon, including commentary and archival articles published in The New York Times.","News about Gabon, including commentary and archival articles published in The New York Times."
"News about Georgia, including commentary and archival articles published in The New York Times.","News about Georgia, including commentary and archival articles published in The New York Times.","News about Georgia, including commentary and archival articles published in The New York Times."
"Articles, photos and video about Georgia from The New York Times, with reader advice on where and when to go.","Articles, photos and video about Georgia from The New York Times, with reader advice on where and when to go.","Articles, photos and video about Georgia from The New York Times, with reader advice on where and when to go."
A group led by Eric H. Holder Jr. is accusing Georgia Republicans of redrawing two legislative districts to minimize the influence of African-Americans.,A group led by Eric H. Holder Jr. is accusing Georgia Republicans of redrawing two legislative districts to minimize the influence of African-Americans.,A group led by Eric H. Holder Jr. is accusing Georgia Republicans of redrawing two legislative districts to minimize the influence of African-Americans.
"News about Ghana, including commentary and archival articles published in The New York Times.","News about Ghana, including commentary and archival articles published in The New York Times.","News about Ghana, including commentary and archival articles published in The New York Times."
"Ghana's Edwin Gyasi scored his first international goal as they came from behind to hold Egypt, who had already qualified for the World Cup, to a 1-1 draw in the last game in Africa's Group E on Sunday.  ","Ghana's Edwin Gyasi scored his first international goal as they came from behind to hold Egypt, who had already qualified for the World Cup, to a 1-1 draw in the last game in Africa's Group E on Sunday.  ","Ghana's Edwin Gyasi scored his first international goal as they came from behind to hold Egypt, who had already qualified for the World Cup, to a 1-1 draw in the last game in Africa's Group E on Sunday.  "
"Ghana's parliament passed a bill on Tuesday to set up an agency to investigate corruption involving suspects in both the public and private sector, a parliamentary staffer said on Tuesday.","Ghana's parliament passed a bill on Tuesday to set up an agency to investigate corruption involving suspects in both the public and private sector, a parliamentary staffer said on Tuesday.","Ghana's parliament passed a bill on Tuesday to set up an agency to investigate corruption involving suspects in both the public and private sector, a parliamentary staffer said on Tuesday."
"The explosion in Accra, Ghana's capital, which injured at least 132 others, sent up giant balls of fire that lit up the night sky.","The explosion in Accra, Ghana's capital, which injured at least 132 others, sent up giant balls of fire that lit up the night sky.","The explosion in Accra, Ghana's capital, which injured at least 132 others, sent up giant balls of fire that lit up the night sky."
"Nneka Ibeabuchi, the creative director of the “Beads and Braids” photo series, demonstrates how to create a summer hairstyle that she discovered in Ghana.","Nneka Ibeabuchi, the creative director of the “Beads and Braids” photo series, demonstrates how to create a summer hairstyle that she discovered in Ghana.","Nneka Ibeabuchi, the creative director of the “Beads and Braids” photo series, demonstrates how to create a summer hairstyle that she discovered in Ghana."
"Articles, photos and video about Gibraltar from The New York Times, including hotel, restaurant and attraction information with reader reviews and advice on where to stay, where to eat and what to do.","Articles, photos and video about Gibraltar from The New York Times, including hotel, restaurant and attraction information with reader reviews and advice on where to stay, where to eat and what to do.","Articles, photos and video about Gibraltar from The New York Times, including hotel, restaurant and attraction information with reader reviews and advice on where to stay, where to eat and what to do."
"News about Gibraltar, including commentary and archival articles published in The New York Times.","News about Gibraltar, including commentary and archival articles published in The New York Times.","News about Gibraltar, including commentary and archival articles published in The New York Times."
"News about Gibraltar Industries Inc., including commentary and archival articles published in The New York Times.","News about Gibraltar Industries Inc., including commentary and archival articles published in The New York Times.","News about Gibraltar Industries Inc., including commentary and archival articles published in The New York Times."
"News about Grenada, including commentary and archival articles published in The New York Times.","News about Grenada, including commentary and archival articles published in The New York Times.","News about Grenada, including commentary and archival articles published in The New York Times."
"Articles, photos and video about Grenada from The New York Times, including hotel, restaurant and attraction information with reader reviews and advice on where to stay, where to eat and what to do.","Articles, photos and video about Grenada from The New York Times, including hotel, restaurant and attraction information with reader reviews and advice on where to stay, where to eat and what to do.","Articles, photos and video about Grenada from The New York Times, including hotel, restaurant and attraction information with reader reviews and advice on where to stay, where to eat and what to do."
The president of St. George's University in Grenada responds to an Upshot article.,The president of St. George's University in Grenada responds to an Upshot article.,The president of St. George's University in Grenada responds to an Upshot article.
Recent and archived news articles by Lisa Guernsey  of The New York Times.,Recent and archived news articles by Lisa Guernsey  of The New York Times.,Recent and archived news articles by Lisa Guernsey  of The New York Times.
"News about Greenland, including commentary and archival articles published in The New York Times.","News about Greenland, including commentary and archival articles published in The New York Times.","News about Greenland, including commentary and archival articles published in The New York Times."
"Articles, photos and video about Greenland from The New York Times, with reader advice on where and when to go.","Articles, photos and video about Greenland from The New York Times, with reader advice on where and when to go.","Articles, photos and video about Greenland from The New York Times, with reader advice on where and when to go."
"A challenge by the Alternative for Germany party holds up the opening of the session, as the opposition criticizes Chancellor Angela Merkel.","A challenge by the Alternative for Germany party holds up the opening of the session, as the opposition criticizes Chancellor Angela Merkel.","A challenge by the Alternative for Germany party holds up the opening of the session, as the opposition criticizes Chancellor Angela Merkel."
"Yes, the far-right Alternative for Germany party did well. But the overwhelming majority rejected its appeal.","Yes, the far-right Alternative for Germany party did well. But the overwhelming majority rejected its appeal.","Yes, the far-right Alternative for Germany party did well. But the overwhelming majority rejected its appeal."
"Articles, photos and video about Germany from The New York Times, with reader advice on where and when to go.","Articles, photos and video about Germany from The New York Times, with reader advice on where and when to go.","Articles, photos and video about Germany from The New York Times, with reader advice on where and when to go."
"News about Germany, including commentary and archival articles published in The New York Times.","News about Germany, including commentary and archival articles published in The New York Times.","News about Germany, including commentary and archival articles published in The New York Times."
"Articles, photos and video about Guadeloupe from The New York Times, including hotel, restaurant and attraction information with reader reviews and advice on where to stay, where to eat and what to do.","Articles, photos and video about Guadeloupe from The New York Times, including hotel, restaurant and attraction information with reader reviews and advice on where to stay, where to eat and what to do.","Articles, photos and video about Guadeloupe from The New York Times, including hotel, restaurant and attraction information with reader reviews and advice on where to stay, where to eat and what to do."
"News about Guam, including commentary and archival articles published in The New York Times.","News about Guam, including commentary and archival articles published in The New York Times.","News about Guam, including commentary and archival articles published in The New York Times."
"For most of the year that Nancy Borowick has lived in Guam, no assignments had come her way. North Korea changed all that.","For most of the year that Nancy Borowick has lived in Guam, no assignments had come her way. North Korea changed all that.","For most of the year that Nancy Borowick has lived in Guam, no assignments had come her way. North Korea changed all that."
"American travelers should consider Guam for its history, its beauty and its barbecue.","American travelers should consider Guam for its history, its beauty and its barbecue.","American travelers should consider Guam for its history, its beauty and its barbecue."
Guam has been threatened by North Korea before. How does this situation compare? Share your thoughts.,Guam has been threatened by North Korea before. How does this situation compare? Share your thoughts.,Guam has been threatened by North Korea before. How does this situation compare? Share your thoughts.
"While Guam's fate may be decided by distant world leaders, its future lies in much younger, more local hands. Here's what some of them have to say.","While Guam's fate may be decided by distant world leaders, its future lies in much younger, more local hands. Here's what some of them have to say.","While Guam's fate may be decided by distant world leaders, its future lies in much younger, more local hands. Here's what some of them have to say."
"Articles, photos and video about Greece from The New York Times, with reader advice on where and when to go.","Articles, photos and video about Greece from The New York Times, with reader advice on where and when to go.","Articles, photos and video about Greece from The New York Times, with reader advice on where and when to go."
"News about Greece, including commentary and archival articles published in The New York Times.","News about Greece, including commentary and archival articles published in The New York Times.","News about Greece, including commentary and archival articles published in The New York Times."
The proposed bond conversion could help ease a staggering debt burden that at one point threatened to push Greece out of the eurozone.,The proposed bond conversion could help ease a staggering debt burden that at one point threatened to push Greece out of the eurozone.,The proposed bond conversion could help ease a staggering debt burden that at one point threatened to push Greece out of the eurozone.
"In “Adults in the Room,” the former finance minister Yanis Varoufakis describes Greece's economic crisis from the inside.","In “Adults in the Room,” the former finance minister Yanis Varoufakis describes Greece's economic crisis from the inside.","In “Adults in the Room,” the former finance minister Yanis Varoufakis describes Greece's economic crisis from the inside."
"“We have lost our ambition,” the French leader said on his first state visit to Greece, calling for a more united Europe in a speech short on specifics.","“We have lost our ambition,” the French leader said on his first state visit to Greece, calling for a more united Europe in a speech short on specifics.","“We have lost our ambition,” the French leader said on his first state visit to Greece, calling for a more united Europe in a speech short on specifics."
"News about National Bank of Greece S.A., including commentary and archival articles published in The New York Times.","News about National Bank of Greece S.A., including commentary and archival articles published in The New York Times.","News about National Bank of Greece S.A., including commentary and archival articles published in The New York Times."
"News about Guatemala, including commentary and archival articles published in The New York Times.","News about Guatemala, including commentary and archival articles published in The New York Times.","News about Guatemala, including commentary and archival articles published in The New York Times."
"Articles, photos and video about Guatemala from The New York Times, with reader advice on where and when to go.","Articles, photos and video about Guatemala from The New York Times, with reader advice on where and when to go.","Articles, photos and video about Guatemala from The New York Times, with reader advice on where and when to go."
The move by Guatemalan legislators means that President Jimmy Morales will not face scrutiny in a campaign finance investigation.,The move by Guatemalan legislators means that President Jimmy Morales will not face scrutiny in a campaign finance investigation.,The move by Guatemalan legislators means that President Jimmy Morales will not face scrutiny in a campaign finance investigation.
"President Jimmy Morales's move to expel the leader of a United Nations-backed commission was temporarily blocked by Guatemala's top judges, setting up a constitutional showdown.","President Jimmy Morales's move to expel the leader of a United Nations-backed commission was temporarily blocked by Guatemala's top judges, setting up a constitutional showdown.","President Jimmy Morales's move to expel the leader of a United Nations-backed commission was temporarily blocked by Guatemala's top judges, setting up a constitutional showdown."
"Guatemala's Supreme Court lifted the immunity of office Tuesday for a congressman suspected of ordering an attack in which two journalists were killed, clearing the way for a judicial investigation in the case.","Guatemala's Supreme Court lifted the immunity of office Tuesday for a congressman suspected of ordering an attack in which two journalists were killed, clearing the way for a judicial investigation in the case.","Guatemala's Supreme Court lifted the immunity of office Tuesday for a congressman suspected of ordering an attack in which two journalists were killed, clearing the way for a judicial investigation in the case."
"News about Guyana, including commentary and archival articles published in The New York Times.","News about Guyana, including commentary and archival articles published in The New York Times.","News about Guyana, including commentary and archival articles published in The New York Times."
"A gruesome crime in Guyana has threatened a tightly knit immigrant community in Queens, pitting Hindu against Muslim, rich against poor, and cousin against cousin.","A gruesome crime in Guyana has threatened a tightly knit immigrant community in Queens, pitting Hindu against Muslim, rich against poor, and cousin against cousin.","A gruesome crime in Guyana has threatened a tightly knit immigrant community in Queens, pitting Hindu against Muslim, rich against poor, and cousin against cousin."
"News about Gaza Strip, including commentary and archival articles published in The New York Times.","News about Gaza Strip, including commentary and archival articles published in The New York Times.","News about Gaza Strip, including commentary and archival articles published in The New York Times."
Ghada Tafesh left the Gaza Strip to get an education in the U.S. in 2012. She hasn't been home since.,Ghada Tafesh left the Gaza Strip to get an education in the U.S. in 2012. She hasn't been home since.,Ghada Tafesh left the Gaza Strip to get an education in the U.S. in 2012. She hasn't been home since.
"News about Haiti, including commentary and archival articles published in The New York Times.","News about Haiti, including commentary and archival articles published in The New York Times.","News about Haiti, including commentary and archival articles published in The New York Times."
"The U.S. should extend the temporary protected status granted to about 50,000 Haitians when their country was devastated by a 2010 earthquake.","The U.S. should extend the temporary protected status granted to about 50,000 Haitians when their country was devastated by a 2010 earthquake.","The U.S. should extend the temporary protected status granted to about 50,000 Haitians when their country was devastated by a 2010 earthquake."
"The remote Haitian island of Île-à-Vache was devastated by Hurricane Matthew in October 2016. Some residents have been able to rebuild their homes. For others, it is taking longer.","The remote Haitian island of Île-à-Vache was devastated by Hurricane Matthew in October 2016. Some residents have been able to rebuild their homes. For others, it is taking longer.","The remote Haitian island of Île-à-Vache was devastated by Hurricane Matthew in October 2016. Some residents have been able to rebuild their homes. For others, it is taking longer."
"Through a quirk of customs law, Haitian New Yorkers can ship home almost anything, as long as it's crammed into a vehicle that can be loaded onto a boat.","Through a quirk of customs law, Haitian New Yorkers can ship home almost anything, as long as it's crammed into a vehicle that can be loaded onto a boat.","Through a quirk of customs law, Haitian New Yorkers can ship home almost anything, as long as it's crammed into a vehicle that can be loaded onto a boat."
"The Olympian Hong Kong offers massive rooms, complimentary smartphones and a location with some of the best dining districts in the city.","The Olympian Hong Kong offers massive rooms, complimentary smartphones and a location with some of the best dining districts in the city.","The Olympian Hong Kong offers massive rooms, complimentary smartphones and a location with some of the best dining districts in the city."
"Articles, photos and video about Hong Kong from The New York Times, including hotel, restaurant and attraction information with reader reviews and advice on where to stay, where to eat and what to do.","Articles, photos and video about Hong Kong from The New York Times, including hotel, restaurant and attraction information with reader reviews and advice on where to stay, where to eat and what to do.","Articles, photos and video about Hong Kong from The New York Times, including hotel, restaurant and attraction information with reader reviews and advice on where to stay, where to eat and what to do."
"News about Hong Kong, including commentary and archival articles published in The New York Times.","News about Hong Kong, including commentary and archival articles published in The New York Times.","News about Hong Kong, including commentary and archival articles published in The New York Times."
China's latest efforts to instill reverence for its national anthem may be met with vigorous protest in Hong Kong.,China's latest efforts to instill reverence for its national anthem may be met with vigorous protest in Hong Kong.,China's latest efforts to instill reverence for its national anthem may be met with vigorous protest in Hong Kong.
"News about Honduras, including commentary and archival articles published in The New York Times.","News about Honduras, including commentary and archival articles published in The New York Times.","News about Honduras, including commentary and archival articles published in The New York Times."
"Articles, photos and video about Honduras from The New York Times, with reader advice on where and when to go.","Articles, photos and video about Honduras from The New York Times, with reader advice on where and when to go.","Articles, photos and video about Honduras from The New York Times, with reader advice on where and when to go."
